"filename", "language", "Swift", "YAML", "C++", "JSON", "HTML", "XML", "Dart", "CMake", "Gradle", "Kotlin", "Java", "comment", "blank", "total"
"c:\Users\35170\Desktop\+\Flutter\grade2\web\index.html", "HTML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 16, 6, 60
"c:\Users\35170\Desktop\+\Flutter\grade2\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\35170\Desktop\+\Flutter\grade2\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
"c:\Users\35170\Desktop\+\Flutter\grade2\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\35170\Desktop\+\Flutter\grade2\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 6, 27
"c:\Users\35170\Desktop\+\Flutter\grade2\windows\runner\flutter_window.cpp", "C++", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\35170\Desktop\+\Flutter\grade2\windows\runner\flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\35170\Desktop\+\Flutter\grade2\windows\runner\main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\35170\Desktop\+\Flutter\grade2\windows\runner\resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\35170\Desktop\+\Flutter\grade2\windows\runner\utils.cpp", "C++", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\35170\Desktop\+\Flutter\grade2\windows\runner\utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\35170\Desktop\+\Flutter\grade2\windows\runner\win32_window.cpp", "C++", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\35170\Desktop\+\Flutter\grade2\windows\runner\win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 58, 5, 548, 103, 38, 461, 1231, 41, 4, 143, -4, 381, 276, 3285
