"filename", "language", "YAML", "Dart", "Markdown", "C++", "JSON", "Objective-C", "HTML", "Swift", "XML", "Java Properties", "Gradle", "Kotlin", "comment", "blank", "total"
"c:\Users\35170\Desktop\+\Flutter\grade2\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\35170\Desktop\+\Flutter\grade2\ios\Runner\main.m", "Objective-C", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\35170\Desktop\+\Flutter\grade2\lib\Common\Notifications.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\35170\Desktop\+\Flutter\grade2\lib\function.dart", "Dart", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 22, 191
"c:\Users\35170\Desktop\+\Flutter\grade2\lib\login.dart", "Dart", 0, 1544, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 167, 1813
"c:\Users\35170\Desktop\+\Flutter\grade2\lib\main.dart", "Dart", 0, 3316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 224, 88, 3628
"c:\Users\35170\Desktop\+\Flutter\grade2\lib\rewidget.dart", "Dart", 0, 432, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 40, 476
"c:\Users\35170\Desktop\+\Flutter\grade2\lib\topbar.dart", "Dart", 0, 1166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 81, 1321
"c:\Users\35170\Desktop\+\Flutter\grade2\lib\tree\Wechat.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"c:\Users\35170\Desktop\+\Flutter\grade2\lib\tree\pages.dart", "Dart", 0, 2367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 264, 50, 2681
"c:\Users\35170\Desktop\+\Flutter\grade2\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\35170\Desktop\+\Flutter\grade2\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\35170\Desktop\+\Flutter\grade2\linux\main.cc", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\35170\Desktop\+\Flutter\grade2\linux\my_application.cc", "C++", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
